[0.014s] Invoking command in '/home/ev/RBE594_ws/build/sirgas_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy /usr/bin/cmake /home/ev/RBE594_ws/src/sirgas_description -DAMENT_CMAKE_SYMLINK_INSTALL=1 -DCMAKE_INSTALL_PREFIX=/home/ev/RBE594_ws/install/sirgas_description
[0.134s] -- The C compiler identification is GNU 13.3.0
[0.236s] -- The CXX compiler identification is GNU 13.3.0
[0.253s] -- Detecting C compiler ABI info
[0.342s] -- Detecting C compiler ABI info - done
[0.351s] -- Check for working C compiler: /usr/bin/cc - skipped
[0.352s] -- Detecting C compile features
[0.352s] -- Detecting C compile features - done
[0.361s] -- Detecting CXX compiler ABI info
[0.460s] -- Detecting CXX compiler ABI info - done
[0.470s] -- Check for working CXX compiler: /usr/bin/c++ - skipped
[0.471s] -- Detecting CXX compile features
[0.471s] -- Detecting CXX compile features - done
[0.480s] -- Found ament_cmake: 2.5.4 (/opt/ros/jazzy/share/ament_cmake/cmake)
[0.663s] -- Found Python3: /usr/bin/python3 (found version "3.12.3") found components: Interpreter 
[0.731s] -- Override CMake install command with custom implementation using symlinks instead of copying resources
[0.808s] -- Found xacro: 2.1.1 (/opt/ros/jazzy/share/xacro/cmake)
[0.814s] -- Found rclcpp: 28.1.12 (/opt/ros/jazzy/share/rclcpp/cmake)
[0.881s] -- Found rosidl_generator_c: 4.6.6 (/opt/ros/jazzy/share/rosidl_generator_c/cmake)
[0.907s] -- Found rosidl_generator_cpp: 4.6.6 (/opt/ros/jazzy/share/rosidl_generator_cpp/cmake)
[0.935s] -- Using all available rosidl_typesupport_c: rosidl_typesupport_fastrtps_c;rosidl_typesupport_introspection_c
[0.963s] -- Using all available rosidl_typesupport_cpp: rosidl_typesupport_fastrtps_cpp;rosidl_typesupport_introspection_cpp
[1.096s] -- Found rmw_implementation_cmake: 7.3.2 (/opt/ros/jazzy/share/rmw_implementation_cmake/cmake)
[1.105s] -- Found rmw_fastrtps_cpp: 8.4.3 (/opt/ros/jazzy/share/rmw_fastrtps_cpp/cmake)
[1.242s] -- Found OpenSSL: /usr/lib/x86_64-linux-gnu/libcrypto.so (found version "3.0.13")  
[1.265s] -- Found FastRTPS: /opt/ros/jazzy/include (Required is at least version "2.13") 
[1.291s] -- Using RMW implementation 'rmw_fastrtps_cpp' as default
[1.405s] -- Found std_msgs: 5.3.6 (/opt/ros/jazzy/share/std_msgs/cmake)
[1.428s] -- Found trajectory_msgs: 5.3.6 (/opt/ros/jazzy/share/trajectory_msgs/cmake)
[1.587s] -- Configuring done (1.6s)
[1.596s] -- Generating done (0.0s)
[1.598s] -- Build files have been written to: /home/ev/RBE594_ws/build/sirgas_description
[1.610s] Invoked command in '/home/ev/RBE594_ws/build/sirgas_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy /usr/bin/cmake /home/ev/RBE594_ws/src/sirgas_description -DAMENT_CMAKE_SYMLINK_INSTALL=1 -DCMAKE_INSTALL_PREFIX=/home/ev/RBE594_ws/install/sirgas_description
[1.611s] Invoking command in '/home/ev/RBE594_ws/build/sirgas_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy /usr/bin/cmake --build /home/ev/RBE594_ws/build/sirgas_description -- -j12 -l12
[1.666s] Invoked command in '/home/ev/RBE594_ws/build/sirgas_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy /usr/bin/cmake --build /home/ev/RBE594_ws/build/sirgas_description -- -j12 -l12
[1.678s] Invoking command in '/home/ev/RBE594_ws/build/sirgas_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy /usr/bin/cmake --install /home/ev/RBE594_ws/build/sirgas_description
[1.687s] -- Install configuration: ""
[1.687s] -- Execute custom install script
[1.688s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//urdf/apriltag_panel.xacro
[1.699s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//urdf/gear_starter_motor.urdf.xacro
[1.711s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//urdf/pba.urdf.xacro
[1.725s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//urdf/ur20.ros2_control.xacro
[1.738s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//urdf/ur20_macro.xacro
[1.749s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//urdf/ur20_picker.urdf.xacro
[1.761s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//urdf/ur20_starter.urdf.xacro
[1.772s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//launch/gr.launch.py
[1.782s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//launch/pba.launch.py
[1.793s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//launch/pba.launch.xml
[1.805s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//launch/pba2.launch.py
[1.817s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//launch/sim.launch.py
[1.830s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//launch/sim2.launch.py
[1.840s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//launch/sim3.launch.py
[1.849s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//launch/ur20_starter.launch.py
[1.858s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//launch/ur20_starter_spawn.launch.py
[1.867s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//meshes/Assembly 1.stl
[1.875s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//meshes/First_Gear.stl
[1.884s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//meshes/Gear_Rotator.stl
[1.893s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//meshes/Motor_Housing.stl
[1.901s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//meshes/Peg_Board.stl
[1.913s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//meshes/Second_Gear.stl
[1.922s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//meshes/Starter_Gear.stl
[1.931s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//meshes/Third_Gear.stl
[1.939s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//meshes/apriltags/tag_1.png
[1.948s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//meshes/sim_cam/model.sdf
[1.957s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//world/.keep
[1.966s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//rviz/config.rviz
[1.975s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//rviz/ur20_view.rviz
[1.984s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//config/initial_positions.yaml
[1.994s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//config/pba_controller.yaml
[2.003s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description//config/ur20_controllers.yaml
[2.015s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/ament_index/resource_index/package_run_dependencies/sirgas_description
[2.024s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/ament_index/resource_index/parent_prefix_path/sirgas_description
[2.032s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description/environment/ament_prefix_path.sh
[2.041s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description/environment/ament_prefix_path.dsv
[2.050s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description/environment/path.sh
[2.058s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description/environment/path.dsv
[2.067s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description/local_setup.bash
[2.076s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description/local_setup.sh
[2.084s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description/local_setup.zsh
[2.093s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description/local_setup.dsv
[2.102s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description/package.dsv
[2.114s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/ament_index/resource_index/packages/sirgas_description
[2.123s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description/cmake/sirgas_descriptionConfig.cmake
[2.131s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description/cmake/sirgas_descriptionConfig-version.cmake
[2.140s] -- Symlinking: /home/ev/RBE594_ws/install/sirgas_description/share/sirgas_description/package.xml
[2.151s] Invoked command in '/home/ev/RBE594_ws/build/sirgas_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy /usr/bin/cmake --install /home/ev/RBE594_ws/build/sirgas_description
